source_enemy_id,title,archetype,signature,focus,note,bias
67,沙城守將,邊境戰契,沙城陣印,守陣壓制,以生命與耐力維持前線。,life
68,魔軍先鋒,魔軍戰契,先鋒鋒印,先鋒強攻,以力量與攻擊打開戰局。,attack
69,魔軍策士,魔軍術契,策士紋印,戰術續航,以靈力與智慧維持戰術。,magic
70,蜃樓幻影,蜃景靈契,幻影刃印,幻術突擊,以力量與攻擊形成幻景殺著。,attack
71,鐵木壁壘,機關重契,鐵木壁印,鋼骨固守,以耐力與防禦形成壁壘。,guard
72,沙城主將,邊境首領,主將軍印,主將破陣,以力量與攻擊代表高階指揮。,attack
73,魔軍統帥,魔軍首領,統帥陣印,統帥續戰,以生命與耐力維持統帥戰線。,life
76,幻機刺客,幻機首領,幻機刺印,幻殺破陣,以力量與攻擊表現高壓刺擊。,attack
102,蛇影游獵,蛇靈毒契,蛇影游印,蛇行迅擊,以體力與敏捷保留蛇行節奏。,speed
103,獅鬃追獵,獅王獸契,獅鬃風印,獅撲先機,以體力與敏捷強化追獵。,speed
105,度度翔巡,飛羽靈契,度度風印,翔空巡弋,以體力與敏捷維持飛行。,speed
106,野猴攀襲,猿靈戰契,攀襲躍印,攀躍游擊,以體力與敏捷提升攀襲。,speed
108,熊掌奔襲,熊靈戰契,熊掌躍印,重步追擊,以體力與敏捷維持追擊。,speed
109,血翼夜巡,血翼靈契,血翼風印,夜空巡獵,以體力與敏捷維持夜巡。,speed
110,蠍尾瞬刺,蠍靈毒契,蠍尾躍印,毒針迅擊,以體力與敏捷強化瞬刺。,speed
111,蛛網伏獵,蛛靈毒契,蛛網風印,蛛網游擊,以體力與敏捷維持伏獵。,speed
112,蟲翅掠行,蟲靈游契,蟲翅躍印,翅振游擊,以體力與敏捷形成掠行。,speed
113,蛾粉幻翼,蛾靈飛契,蛾粉風印,粉翼巡弋,以體力與敏捷維持翼行。,speed
114,蟾毒彈跳,蟾靈毒契,蟾毒躍印,毒躍襲擾,以體力與敏捷加強跳襲。,speed
115,巨蛙躍泉,蛙靈水契,躍泉風印,泉躍游擊,以體力與敏捷保留彈跳。,speed
116,水蛇回游,水蛇靈契,回游躍印,水行迅擊,以體力與敏捷形成水行。,speed
117,狼群追蹤,狼靈獸契,狼群風印,群獵先機,以體力與敏捷維持追蹤。,speed
120,蜈足掠地,蜈靈毒契,蜈足行印,百足游擊,以體力與敏捷維持地行。,speed
123,北狼霜獵,霜狼獸契,霜狼躍印,霜原突襲,以敏捷與體力強化突襲。,speed
176,黑豹夜獵,豹靈獸契,豹影躍印,夜獵突進,以敏捷與體力維持夜獵。,speed
180,格特輪戰鑄,機械戰契,格特輪槌印,鑄鐵強攻,以力量與攻擊表現機械打擊。,attack
380,教眾軍師,教團戰契,軍師刃印,軍陣破局,以力量與攻擊轉化軍師壓制。,attack
381,黃八奇襲,奇兵戰契,黃八鋒印,奇兵破陣,以力量與攻擊強化奇襲。,attack
382,屍潮衝鋒,屍靈首領,屍潮刃印,屍軍突進,以力量與攻擊帶動屍潮。,attack
384,財寶幻匣,寶靈幻契,寶匣靈印,寶匣術式,以靈力與智慧支撐幻匣。,magic
385,響尾震襲,響尾毒契,響尾行印,震尾游擊,以體力與敏捷形成震襲。,speed
386,棕熊厚掌,熊靈獸契,厚掌獵印,厚掌追獵,以敏捷與體力維持熊掌壓迫。,speed
388,紅猿躍擊,猿靈獸契,紅猿風印,躍擊游獵,以敏捷與體力維持躍擊。,speed
389,奧斯曼劍術,沙漠戰契,奧斯曼鋒印,劍術破陣,以力量與攻擊表現劍術。,attack
396,噬肉疾獵,噬肉靈契,噬肉風印,疾獵游擊,以體力與敏捷維持疾獵。,speed
397,赤尾毒鞭,蠍靈毒契,赤尾躍印,毒鞭迅擊,以體力與敏捷表現毒鞭。,speed
398,加賽因疾行,遊俠靈契,加賽行印,遊俠游擊,以體力與敏捷維持疾行。,speed
433,道門劍訣,道門武契,劍訣鋒印,劍訣強攻,以力量與攻擊展現劍訣。,attack
2202,異域戰將,異域首領,異域鋒印,異域破陣,以力量與攻擊代表戰將壓制。,attack
