"card_id","card_name","source_enemy_id","source_name","rarity_tier","rarity_label","guardian_power_tier","guardian_power_label","race_id","level","guardian_sp_cost","not_in_book","source_hp","source_atk","source_def","source_spd","source_wis","card_battle_hp","card_battle_atk","card_battle_def","add_hp","add_mp","add_sp","add_str","add_stamina","add_wis","add_spd","add_atk","add_def","guardian_theme","guardian_archetype","guardian_signature","guardian_signature_note","specialization_mode","separation_adjustment_hp","source_focus","design_note"
"10021","夜叉悟緣・契靈","52","夜叉悟緣","contract","契約","boss","首領","8","50","160","Y","8000","480","103","62","120","9440","552","118","165","97","92","12","6","25","7","18","11","夜叉冥獵","夜叉首領","夜叉獵印","以敏捷與體力延續夜叉追擊。","manual","0","冥界突襲","首領護駕／夜叉冥獵：以敏捷與體力延續夜叉追擊。 個性・夜叉獵印：以敏捷與體力延續夜叉追擊。 冥界突襲與原始面板折算已反映在九維加成。"
"10022","雨丹子五鬼・契靈","53","雨丹子五鬼","contract","契約","boss","首領","7","55","160","Y","12000","510","148","60","200","14160","587","170","181","104","87","12","7","28","5","18","11","五鬼咒潮","幽冥首領","五鬼咒印","以靈力與智慧強化鬼咒循環。","manual","0","群咒蓄勢","首領護駕／五鬼咒潮：以靈力與智慧強化鬼咒循環。 個性・五鬼咒印：以靈力與智慧強化鬼咒循環。 群咒蓄勢與原始面板折算已反映在九維加成。"
"10023","機關和尚・契靈","57","機關和尚","rare","稀有","elite","菁英","13","44","90","Y","620","310","155","54","80","694","338","169","116","50","59","11","7","22","4","16","10","機巧鋼骨・機關和尚","機巧鋼骨","破軍印","把加護集中於力量與正面攻勢。","generated","0","攻勢本能","菁英護駕／機巧鋼骨・機關和尚：機關構造，側重耐力、防禦與穩定。 個性・破軍印：把加護集中於力量與正面攻勢。 攻勢本能與原始面板折算已反映在九維加成。"
"10024","牛魔王・契靈","59","牛魔王","contract","契約","sovereign","傳說首領","1","80","280","Y","30000","800","444","180","300","35400","920","511","320","134","137","27","18","30","10","37","21","平天巨力・牛魔王","平天巨力","銳鋒印","以力量、敏捷與攻擊提升破陣能力。","generated","0","攻勢本能","傳說首領護駕／平天巨力・牛魔王：平天巨力，將高生命與正面壓制化作力量與耐力。 個性・銳鋒印：以力量、敏捷與攻擊提升破陣能力。 攻勢本能與原始面板折算已反映在九維加成。"
"10025","冰魔薇達・契靈","60","冰魔薇達","contract","契約","veteran","熟練","1","34","30","Y","1200","130","70","45","78","1416","150","81","69","30","72","4","2","23","6","6","6","霜魄凝守・冰魔薇達","霜魄凝守","獵心印","將速度轉為力量與攻擊節奏。","generated","0","迅捷本能","熟練護駕／霜魄凝守・冰魔薇達：冰霜原型，以智慧與防禦維持節奏。 個性・獵心印：將速度轉為力量與攻擊節奏。 迅捷本能與原始面板折算已反映在九維加成。"
"10026","機關三魔獸・契靈","61","機關三魔獸","contract","契約","elite","菁英","13","40","90","Y","3000","290","60","58","10","3540","334","69","90","62","35","15","4","16","3","12","30","三獸突擊","機關突契","三獸突印","以力量與攻擊轉化機關衝鋒。","manual","0","機械破陣","菁英護駕／三獸突擊：以力量與攻擊轉化機關衝鋒。 個性・三獸突印：以力量與攻擊轉化機關衝鋒。 機械破陣與原始面板折算已反映在九維加成。"
"10027","藍魔神本體・契靈","62","藍魔神本體","contract","契約","elite","菁英","1","37","90","Y","3500","130","62","48","120","4130","150","71","96","64","70","10","4","17","8","6","30","藍魔核心","藍魔本契","核心躍印","以敏捷與體力保留本體機動。","manual","0","核心游擊","菁英護駕／藍魔核心：以敏捷與體力保留本體機動。 個性・核心躍印：以敏捷與體力保留本體機動。 核心游擊與原始面板折算已反映在九維加成。"
"10028","姆斯比爾・契靈","63","姆斯比爾","contract","契約","elite","菁英","12","50","90","Y","500","160","65","45","90","590","184","75","102","50","35","15","4","16","3","12","30","炎潮戰巡","熾焰戰契","炎潮鋒印","以力量與攻擊維持戰線。","manual","0","火線強攻","菁英護駕／炎潮戰巡：以力量與攻擊維持戰線。 個性・炎潮鋒印：以力量與攻擊維持戰線。 火線強攻與原始面板折算已反映在九維加成。"
"10029","藍魔神・契靈","64","藍魔神","contract","契約","elite","菁英","12","49","90","Y","600","130","62","43","120","708","150","71","111","52","35","15","4","17","3","12","30","藍魔戰相","藍魔戰契","戰相刃印","以力量與攻擊塑造戰相壓制。","manual","3","魔焰破陣","菁英護駕／藍魔戰相：以力量與攻擊塑造戰相壓制。 個性・戰相刃印：以力量與攻擊塑造戰相壓制。 魔焰破陣與原始面板折算已反映在九維加成。"
"10030","影忍妖機・契靈","65","影忍妖機","rare","稀有","veteran","熟練","13","35","30","Y","300","216","100","50","22","336","235","109","69","20","20","12","2","14","2","8","27","影忍機襲","忍機靈契","影忍刃印","以力量與攻擊表現忍機刺擊。","manual","0","暗械突擊","熟練護駕／影忍機襲：以力量與攻擊表現忍機刺擊。 個性・影忍刃印：以力量與攻擊表現忍機刺擊。 暗械突擊與原始面板折算已反映在九維加成。"
"10031","康那里士・契靈","67","康那里士","contract","契約","elite","菁英","23","42","90","Y","2500","320","80","48","100","2950","368","92","96","70","41","14","5","17","3","11","25","沙城守將","邊境戰契","沙城陣印","以生命與耐力維持前線。","manual","0","守陣壓制","菁英護駕／沙城守將：以生命與耐力維持前線。 個性・沙城陣印：以生命與耐力維持前線。 守陣壓制與原始面板折算已反映在九維加成。"
"10032","撒旦麥爾斯・契靈","68","撒旦麥爾斯","contract","契約","elite","菁英","23","50","90","Y","4600","380","113","48","200","5428","437","130","108","72","41","16","4","18","3","14","24","魔軍先鋒","魔軍戰契","先鋒鋒印","以力量與攻擊打開戰局。","manual","12","先鋒強攻","菁英護駕／魔軍先鋒：以力量與攻擊打開戰局。 個性・先鋒鋒印：以力量與攻擊打開戰局。 先鋒強攻與原始面板折算已反映在九維加成。"
"10033","撒旦麥爾斯・契靈","69","撒旦麥爾斯","contract","契約","elite","菁英","23","50","90","Y","3600","380","113","45","200","4248","437","130","102","71","41","14","4","20","3","11","24","魔軍策士","魔軍術契","策士紋印","以靈力與智慧維持戰術。","manual","0","戰術續航","菁英護駕／魔軍策士：以靈力與智慧維持戰術。 個性・策士紋印：以靈力與智慧維持戰術。 戰術續航與原始面板折算已反映在九維加成。"
"10034","蜃樓王・契靈","70","蜃樓王","contract","契約","elite","菁英","12","50","90","Y","4000","300","68","43","130","4720","345","78","108","52","41","16","4","17","3","14","24","蜃樓幻影","蜃景靈契","幻影刃印","以力量與攻擊形成幻景殺著。","manual","0","幻術突擊","菁英護駕／蜃樓幻影：以力量與攻擊形成幻景殺著。 個性・幻影刃印：以力量與攻擊形成幻景殺著。 幻術突擊與原始面板折算已反映在九維加成。"
"10035","木鐵人・契靈","71","木鐵人","contract","契約","elite","菁英","13","50","90","Y","3500","360","133","58","0","4130","414","153","117","38","41","14","6","16","3","11","27","鐵木壁壘","機關重契","鐵木壁印","以耐力與防禦形成壁壘。","manual","0","鋼骨固守","菁英護駕／鐵木壁壘：以耐力與防禦形成壁壘。 個性・鐵木壁印：以耐力與防禦形成壁壘。 鋼骨固守與原始面板折算已反映在九維加成。"
"10036","康那里士・契靈","72","康那里士","contract","契約","boss","首領","23","54","160","Y","12500","540","80","62","150","14750","621","92","175","97","75","20","7","19","5","21","23","沙城主將","邊境首領","主將軍印","以力量與攻擊代表高階指揮。","manual","0","主將破陣","首領護駕／沙城主將：以力量與攻擊代表高階指揮。 個性・主將軍印：以力量與攻擊代表高階指揮。 主將破陣與原始面板折算已反映在九維加成。"
"10037","撒旦麥爾斯・契靈","73","撒旦麥爾斯","contract","契約","boss","首領","23","55","160","Y","8600","500","113","58","200","10148","575","130","177","99","67","18","7","20","4","18","24","魔軍統帥","魔軍首領","統帥陣印","以生命與耐力維持統帥戰線。","manual","0","統帥續戰","首領護駕／魔軍統帥：以生命與耐力維持統帥戰線。 個性・統帥陣印：以生命與耐力維持統帥戰線。 統帥續戰與原始面板折算已反映在九維加成。"
"10038","撒旦・契靈","74","撒旦","contract","契約","sovereign","傳說首領","1","70","280","Y","30000","999","999","70","200","35400","1149","1149","312","142","105","32","19","26","7","40","40","魔王霸權・撒旦（74）","魔王霸權","破軍印","把加護集中於力量與正面攻勢。","generated","0","攻勢本能","傳說首領護駕／魔王霸權・撒旦（74）：魔王霸權，將極端攻防凝為壓制性的契靈加護。 個性・破軍印：把加護集中於力量與正面攻勢。 攻勢本能與原始面板折算已反映在九維加成。"
"10039","撒旦賽特・契靈","75","撒旦賽特","contract","契約","sovereign","傳說首領","23","60","280","Y","30000","750","166","92","200","35400","862","191","318","144","105","26","16","29","7","30","33","冥王咒鎧・撒旦賽特","冥王咒鎧","壓陣印","以生命與力量維持穩定壓制。","generated","0","攻勢本能","傳說首領護駕／冥王咒鎧・撒旦賽特：冥王咒鎧，以暗系術法與防線兼顧長戰。 個性・壓陣印：以生命與力量維持穩定壓制。 攻勢本能與原始面板折算已反映在九維加成。"
"10040","羯忍幻機・契靈","76","羯忍幻機","elite","菁英","boss","首領","13","52","160","Y","1800","500","162","58","100","2070","560","181","189","73","67","20","6","19","4","21","23","幻機刺客","幻機首領","幻機刺印","以力量與攻擊表現高壓刺擊。","manual","0","幻殺破陣","首領護駕／幻機刺客：以力量與攻擊表現高壓刺擊。 個性・幻機刺印：以力量與攻擊表現高壓刺擊。 幻殺破陣與原始面板折算已反映在九維加成。"
"10041","慧彥・契靈","93","慧彥","contract","契約","veteran","熟練","23","38","30","Y","500","230","130","51","180","590","265","150","55","66","38","12","5","19","2","7","12","修行護持・慧彥（93）","修行護持","壓陣印","以生命與力量維持穩定壓制。","generated","0","攻勢本能","熟練護駕／修行護持・慧彥（93）：修行者的定力，著重智慧、靈力與守勢。 個性・壓陣印：以生命與力量維持穩定壓制。 攻勢本能與原始面板折算已反映在九維加成。"
"10042","蛇・契靈","102","蛇","common","常見","common","初階","14","13","10","Y","20","25","20","20","20","22","26","21","26","28","43","7","1","13","4","1","7","蛇影游獵","蛇靈毒契","蛇影游印","以體力與敏捷保留蛇行節奏。","manual","0","蛇行迅擊","初階護駕／蛇影游獵：以體力與敏捷保留蛇行節奏。 個性・蛇影游印：以體力與敏捷保留蛇行節奏。 蛇行迅擊與原始面板折算已反映在九維加成。"
"10043","獅・契靈","103","獅","uncommon","少見","veteran","熟練","14","25","30","Y","160","123","90","45","50","176","132","96","57","32","63","8","2","14","6","3","9","獅鬃追獵","獅王獸契","獅鬃風印","以體力與敏捷強化追獵。","manual","0","獅撲先機","熟練護駕／獅鬃追獵：以體力與敏捷強化追獵。 個性・獅鬃風印：以體力與敏捷強化追獵。 獅撲先機與原始面板折算已反映在九維加成。"
"10044","虎・契靈","104","虎","uncommon","少見","veteran","熟練","14","25","30","Y","180","128","93","42","60","198","137","100","73","26","38","15","2","14","4","13","9","獵獸本能・虎","獵獸本能","破軍印","把加護集中於力量與正面攻勢。","generated","0","攻勢本能","熟練護駕／獵獸本能・虎：掠食原型，以力量、敏捷與攻擊作為核心。 個性・破軍印：把加護集中於力量與正面攻勢。 攻勢本能與原始面板折算已反映在九維加成。"
"10045","度度鳥・契靈","105","度度鳥","common","常見","common","初階","14","14","10","Y","15","20","13","21","12","16","21","14","44","10","43","7","1","13","4","1","7","度度翔巡","飛羽靈契","度度風印","以體力與敏捷維持飛行。","manual","0","翔空巡弋","初階護駕／度度翔巡：以體力與敏捷維持飛行。 個性・度度風印：以體力與敏捷維持飛行。 翔空巡弋與原始面板折算已反映在九維加成。"
"10046","野猴・契靈","106","野猴","common","常見","common","初階","14","12","10","Y","20","21","15","22","10","22","22","16","20","34","49","7","1","13","4","1","1","野猴攀襲","猿靈戰契","攀襲躍印","以體力與敏捷提升攀襲。","manual","0","攀躍游擊","初階護駕／野猴攀襲：以體力與敏捷提升攀襲。 個性・攀襲躍印：以體力與敏捷提升攀襲。 攀躍游擊與原始面板折算已反映在九維加成。"
"10047","黑金剛・契靈","107","黑金剛","common","常見","common","初階","14","16","10","Y","30","33","16","18","20","32","35","17","45","32","54","10","4","13","7","4","1","巨力鎮守・黑金剛","巨力鎮守","追風印","以速度、體力與靈力掌握先機。","generated","0","迅捷本能","初階護駕／巨力鎮守・黑金剛：巨力原型，以力量、耐力與正面壓制見長。 個性・追風印：以速度、體力與靈力掌握先機。 迅捷本能與原始面板折算已反映在九維加成。"
"10048","熊・契靈","108","熊","common","常見","common","初階","14","17","10","Y","35","35","18","20","13","38","37","19","32","22","49","7","1","13","4","1","1","熊掌奔襲","熊靈戰契","熊掌躍印","以體力與敏捷維持追擊。","manual","0","重步追擊","初階護駕／熊掌奔襲：以體力與敏捷維持追擊。 個性・熊掌躍印：以體力與敏捷維持追擊。 重步追擊與原始面板折算已反映在九維加成。"
"10049","吸血蝙蝠・契靈","109","吸血蝙蝠","common","常見","common","初階","14","8","10","Y","10","20","15","20","10","11","21","16","38","16","49","7","1","13","4","1","1","血翼夜巡","血翼靈契","血翼風印","以體力與敏捷維持夜巡。","manual","0","夜空巡獵","初階護駕／血翼夜巡：以體力與敏捷維持夜巡。 個性・血翼風印：以體力與敏捷維持夜巡。 夜空巡獵與原始面板折算已反映在九維加成。"
"10050","毒蠍子・契靈","110","毒蠍子","common","常見","common","初階","14","10","10","Y","15","21","13","20","14","16","22","14","44","10","49","7","1","13","4","1","1","蠍尾瞬刺","蠍靈毒契","蠍尾躍印","以體力與敏捷強化瞬刺。","manual","0","毒針迅擊","初階護駕／蠍尾瞬刺：以體力與敏捷強化瞬刺。 個性・蠍尾躍印：以體力與敏捷強化瞬刺。 毒針迅擊與原始面板折算已反映在九維加成。"
"10051","毒蜘蛛・契靈","111","毒蜘蛛","common","常見","common","初階","14","6","10","Y","15","22","17","21","10","16","23","18","20","34","25","13","1","7","4","1","25","蛛網伏獵","蛛靈毒契","蛛網風印","以體力與敏捷維持伏獵。","manual","0","蛛網游擊","初階護駕／蛛網伏獵：以體力與敏捷維持伏獵。 個性・蛛網風印：以體力與敏捷維持伏獵。 蛛網游擊與原始面板折算已反映在九維加成。"
"10052","隱翅蟲・契靈","112","隱翅蟲","common","常見","common","初階","14","9","10","Y","12","19","10","22","10","13","20","11","26","28","25","13","1","7","4","1","25","蟲翅掠行","蟲靈游契","蟲翅躍印","以體力與敏捷形成掠行。","manual","0","翅振游擊","初階護駕／蟲翅掠行：以體力與敏捷形成掠行。 個性・蟲翅躍印：以體力與敏捷形成掠行。 翅振游擊與原始面板折算已反映在九維加成。"
"10053","巨蛾・契靈","113","巨蛾","common","常見","common","初階","14","8","10","Y","15","23","13","23","10","16","24","14","32","22","25","13","1","7","4","1","25","蛾粉幻翼","蛾靈飛契","蛾粉風印","以體力與敏捷維持翼行。","manual","0","粉翼巡弋","初階護駕／蛾粉幻翼：以體力與敏捷維持翼行。 個性・蛾粉風印：以體力與敏捷維持翼行。 粉翼巡弋與原始面板折算已反映在九維加成。"
"10054","毒蟾蜍・契靈","114","毒蟾蜍","common","常見","common","初階","14","10","10","Y","15","19","13","16","15","16","20","14","38","16","25","13","1","7","4","1","25","蟾毒彈跳","蟾靈毒契","蟾毒躍印","以體力與敏捷加強跳襲。","manual","0","毒躍襲擾","初階護駕／蟾毒彈跳：以體力與敏捷加強跳襲。 個性・蟾毒躍印：以體力與敏捷加強跳襲。 毒躍襲擾與原始面板折算已反映在九維加成。"
"10055","巨蛙・契靈","115","巨蛙","common","常見","common","初階","14","5","10","Y","12","19","14","24","10","13","20","15","44","10","25","13","1","7","4","1","25","巨蛙躍泉","蛙靈水契","躍泉風印","以體力與敏捷保留彈跳。","manual","0","泉躍游擊","初階護駕／巨蛙躍泉：以體力與敏捷保留彈跳。 個性・躍泉風印：以體力與敏捷保留彈跳。 泉躍游擊與原始面板折算已反映在九維加成。"
"10056","水蛇・契靈","116","水蛇","common","常見","common","初階","14","9","10","Y","20","23","12","22","10","22","24","13","20","34","31","13","1","7","4","1","19","水蛇回游","水蛇靈契","回游躍印","以體力與敏捷形成水行。","manual","0","水行迅擊","初階護駕／水蛇回游：以體力與敏捷形成水行。 個性・回游躍印：以體力與敏捷形成水行。 水行迅擊與原始面板折算已反映在九維加成。"
"10057","狼・契靈","117","狼","uncommon","少見","veteran","熟練","14","23","30","Y","125","118","82","41","20","138","126","88","51","38","51","14","2","8","6","3","21","狼群追蹤","狼靈獸契","狼群風印","以體力與敏捷維持追蹤。","manual","0","群獵先機","熟練護駕／狼群追蹤：以體力與敏捷維持追蹤。 個性・狼群風印：以體力與敏捷維持追蹤。 群獵先機與原始面板折算已反映在九維加成。"
"10058","鷹・契靈","119","鷹","uncommon","少見","veteran","熟練","14","25","30","Y","170","140","73","42","48","187","150","78","57","40","34","18","2","10","8","9","21","翔空獵影・鷹","翔空獵影","獵心印","將速度轉為力量與攻擊節奏。","generated","0","攻勢本能","熟練護駕／翔空獵影・鷹：飛行原型，突出敏捷、智慧與靈力。 個性・獵心印：將速度轉為力量與攻擊節奏。 攻勢本能與原始面板折算已反映在九維加成。"
"10059","蜈蚣・契靈","120","蜈蚣","common","常見","common","初階","14","13","10","Y","35","42","28","30","15","38","44","29","38","16","31","13","1","7","4","1","19","蜈足掠地","蜈靈毒契","蜈足行印","以體力與敏捷維持地行。","manual","0","百足游擊","初階護駕／蜈足掠地：以體力與敏捷維持地行。 個性・蜈足行印：以體力與敏捷維持地行。 百足游擊與原始面板折算已反映在九維加成。"
"10060","黑蜈蚣・契靈","121","黑蜈蚣","common","常見","common","初階","14","16","10","Y","40","52","43","36","15","43","55","45","44","10","46","16","1","7","7","6","19","伏毒奇襲・黑蜈蚣","伏毒奇襲","獵心印","將速度轉為力量與攻擊節奏。","generated","0","迅捷本能","初階護駕／伏毒奇襲・黑蜈蚣：伏擊型原型，將加護轉為迅捷與體力。 個性・獵心印：將速度轉為力量與攻擊節奏。 迅捷本能與原始面板折算已反映在九維加成。"
"10061","紅耳蝙蝠・契靈","122","紅耳蝙蝠","common","常見","common","初階","14","15","10","Y","45","57","48","43","40","49","60","50","20","42","44","14","2","9","9","4","13","翔空獵影・紅耳蝙蝠","翔空獵影","掠行印","以敏捷與攻擊維持遊擊節奏。","generated","0","迅捷本能","初階護駕／翔空獵影・紅耳蝙蝠：飛行原型，突出敏捷、智慧與靈力。 個性・掠行印：以敏捷與攻擊維持遊擊節奏。 迅捷本能與原始面板折算已反映在九維加成。"
